recording_id,environment_id,person_id,duration(min),duration(sec)
10_16,2,5,16.23,973.64
10_18,1,2,10.34,620.25
10_24,11,5,11.49,689.19
10_26,6,2,6.99,419.19
10_31,2,8,6.74,404.47
10_42,5,8,12.48,748.81
10_46,5,4,11.82,709.24
10_47,7,4,7.71,462.53
10_48,1,5,10.83,649.75
10_50,5,2,4.19,252.92
10_6,7,8,5.47,328.36
10_7,6,8,10.62,636.9
12_10,2,3,6.56,393.56
12_119,11,5,7.37,441.94
12_12,1,5,8.91,534.43
12_13,5,4,8.76,525.69
12_15,2,2,7.71,462.73
12_16,6,3,5.59,335.64
12_17,6,2,4.12,247.15
12_19,6,3,6.28,379.38
12_2,1,4,7.14,428.66
12_26,1,2,5.49,329.2
12_38,5,5,5.97,358.09
12_41,7,5,7.84,470.67
12_43,5,8,3.34,200.37
12_48,2,8,5.01,300.57
12_5,5,2,7.95,477.14
12_51,7,8,3.99,239.54
12_6,2,3,6.42,385.43
12_9,5,3,7.53,451.52
13_12,2,2,8.69,521.59
13_14,2,8,13.81,828.66
13_18,1,5,23.0,1380.05
13_20,1,3,16.31,978.81
13_24,6,2,10.66,639.61
13_31,1,8,7.85,471.0
13_32,6,8,8.05,483.15
13_36,11,5,11.98,718.85
13_38,5,8,13.6,816.22
13_41,7,4,15.24,914.61
13_44,6,4,12.77,766.03
13_45,1,2,12.14,728.19
13_5,2,5,21.68,1300.87
13_9,5,2,12.28,736.74
15_17,1,4,18.25,1094.96
15_18,7,4,28.76,1725.82
15_19,1,3,27.15,1628.99
15_2,6,8,25.64,1538.64
15_28,2,5,14.86,891.76
15_29,2,2,21.55,1292.82
15_30,6,4,10.67,640.24
15_33,1,8,10.79,647.31
15_37,2,4,10.88,652.52
15_39,11,5,13.91,834.63
15_4,2,8,20.72,1243.34
15_41,5,4,18.21,1092.76
15_46,7,1,19.86,1191.29
15_5,5,5,41.17,2470.33
15_8,5,3,38.83,2330.63
16_1,5,7,18.01,1080.38
16_10,10,6,19.74,1184.22
16_17,8,4,28.96,1737.44
16_18,2,6,23.55,1413.28
16_2,5,6,20.4,1223.92
16_20,8,1,32.18,1930.9
16_23,2,7,21.51,1290.49
16_26,6,7,16.27,976.34
16_27,9,7,13.76,825.36
16_28,1,7,18.28,1096.7
16_3,8,3,41.14,2468.4
16_35,1,1,21.19,1271.4
16_39,7,6,11.76,705.71
16_40,1,3,27.88,1672.54
16_42,2,1,15.84,950.65
16_44,1,6,18.58,1114.81
17_10,6,4,14.63,877.54
17_11,2,3,12.73,764.06
17_14,7,8,10.41,624.39
17_15,6,2,15.7,942.04
17_16,11,5,16.18,970.87
17_19,2,2,16.43,985.95
17_20,5,5,11.67,700.33
17_21,5,2,13.29,799.3
17_23,6,8,16.04,962.09
17_28,8,3,6.78,406.57
17_29,7,5,12.27,736.4
17_3,1,2,14.26,855.55
17_36,8,4,7.14,428.69
17_37,1,5,12.14,728.69
17_40,7,4,10.2,612.11
17_43,3,1,8.85,530.96
17_45,2,4,12.91,774.57
17_49,1,4,11.4,683.75
17_5,5,8,14.95,897.23
17_8,2,5,19.49,1169.17
18_101,6,8,13.82,829.46
18_11,2,4,13.09,785.08
18_12,3,3,17.29,1037.5
18_19,2,4,14.73,883.75
18_2,2,8,11.23,673.54
18_24,2,3,17.89,1073.54
18_27,5,1,10.94,656.26
18_28,2,1,11.72,703.1
18_3,1,1,11.97,718.35
18_31,5,4,7.37,442.18
18_33,6,4,11.08,665.03
18_41,6,3,10.06,603.54
18_45,11,5,16.84,1010.11
18_49,2,5,25.37,1522.25
18_8,3,1,18.45,1107.31
1_10,1,6,7.88,473.04
1_136,1,3,13.21,792.59
1_14,5,1,11.82,709.01
1_143,1,7,10.7,642.14
1_19,7,1,11.57,694.39
1_20,2,1,11.35,681.15
1_25,7,6,10.16,609.91
1_28,1,1,7.46,447.45
1_30,5,6,7.82,469.1
1_32,9,7,6.04,362.23
1_33,6,1,10.61,636.6
1_34,10,6,5.72,343.28
1_36,1,3,8.4,503.8
1_37,2,6,10.19,611.24
1_42,5,7,6.4,383.92
1_43,1,7,7.36,441.44
1_49,6,7,6.39,383.35
1_7,8,3,10.05,603.1
20_14,5,5,33.71,2022.35
20_16,2,4,27.08,1624.62
20_17,7,5,31.62,1897.16
20_19,2,8,22.31,1338.37
20_22,1,2,17.75,1065.2
20_25,7,8,19.56,1173.87
20_26,1,4,18.2,1092.29
20_29,5,4,20.46,1227.73
20_32,5,8,19.76,1185.55
20_39,6,3,10.33,619.82
20_44,6,2,10.37,622.22
20_47,2,3,19.45,1167.13
20_48,2,2,14.25,855.25
20_9,5,3,31.1,1866.1
21_103,1,1,15.47,927.96
21_11,5,1,18.54,1112.31
21_14,2,7,9.27,555.89
21_15,5,7,10.1,606.01
21_17,10,6,15.95,957.02
21_19,7,1,19.29,1157.22
21_24,9,7,13.28,797.03
21_25,1,7,14.13,847.98
21_28,6,3,11.24,676.08
21_29,6,7,9.58,574.77
21_3,1,1,13.69,821.12
21_32,6,3,9.65,579.15
21_37,5,6,18.15,1089.19
21_43,6,1,12.82,769.1
21_44,5,3,15.88,952.65
21_46,2,6,12.57,753.99
21_47,2,1,12.52,751.15
21_50,1,6,13.91,834.83
21_8,1,3,15.78,946.58
22_10,1,1,18.98,1287.15
22_13,5,6,13.63,817.55
22_137,6,3,11.7,701.83
22_2,2,3,16.86,1011.31
22_21,2,6,11.85,711.01
22_24,5,1,32.87,1972.37
22_26,1,6,9.57,574.34
22_30,10,6,7.85,471.17
22_31,6,3,11.95,718.65
22_32,6,1,10.21,612.61
22_37,6,3,9.34,560.29
22_38,1,7,13.44,806.64
22_4,7,1,22.15,1329.26
22_40,5,7,7.56,453.55
22_41,7,6,8.48,508.54
22_6,6,7,13.46,807.81
22_8,9,7,9.72,583.05
23_1,5,4,39.26,2356.59
23_12,7,1,31.96,1917.88
23_16,7,6,21.93,1315.58
23_17,5,2,27.66,1659.46
23_18,6,1,32.67,1961.43
23_19,5,8,30.05,1803.03
23_23,1,8,27.77,1666.5
23_24,2,3,29.92,1794.99
23_26,6,8,22.93,1375.67
23_32,2,1,20.14,1208.71
23_38,3,1,17.77,1065.93
23_39,1,3,26.05,1563.13
23_41,8,4,13.99,839.64
23_5,7,4,30.38,1822.99
23_6,7,5,36.49,2189.35
23_9,11,5,36.43,2185.75
25_1,6,4,29.35,1761.19
25_109,7,5,35.45,2126.96
25_11,2,4,22.09,1326.26
25_13,1,1,20.58,1234.57
25_2,2,1,18.69,1121.62
25_22,5,4,23.68,1420.52
25_3,1,8,22.27,1335.97
25_4,6,8,28.53,1711.81
25_40,2,2,14.62,877.34
25_41,7,1,16.93,1015.91
25_42,6,1,19.8,1188.25
25_48,5,2,12.79,767.63
25_5,7,4,23.03,1381.88
25_6,5,1,35.71,2142.57
25_9,6,2,17.64,1058.52
26_136,6,2,11.41,684.52
26_17,5,5,26.81,1608.41
26_18,7,4,15.24,914.65
26_19,7,5,22.47,1348.05
26_20,8,4,17.71,1062.56
26_22,3,3,22.07,1324.22
26_24,6,1,21.03,1263.5
26_29,5,2,11.93,715.75
26_30,2,5,14.58,874.74
26_34,6,4,13.94,836.34
26_36,7,6,11.38,748.75
26_39,7,8,11.72,703.37
26_4,7,4,16.18,970.9
26_42,6,8,13.9,833.8
26_46,7,1,13.04,782.11
26_6,8,3,17.49,1049.58
26_7,3,1,23.53,1411.94
27_13,7,5,19.18,1150.92
27_15,2,2,11.1,665.8
27_17,1,4,15.39,923.56
27_18,6,3,14.86,891.36
27_26,6,8,12.21,732.57
27_29,1,5,13.1,785.85
27_3,5,8,11.74,704.6
27_31,7,4,12.24,734.63
27_34,1,2,10.5,629.9
27_37,5,2,8.68,520.82
27_38,6,4,9.73,583.55
27_4,6,2,10.75,644.74
27_45,2,5,16.97,1017.95
27_49,7,8,8.88,532.83
27_9,2,4,16.84,1010.51
28_10,1,6,18.54,1112.28
28_14,5,3,18.27,1096.2
28_16,3,3,18.13,1087.82
28_2,10,6,14.76,885.65
28_21,9,7,15.83,949.78
28_24,6,7,17.84,1070.6
28_25,2,1,17.47,1048.05
28_26,5,1,13.46,807.81
28_28,1,7,13.03,781.51
28_29,5,7,9.69,581.45
28_3,7,6,16.93,1015.68
28_38,6,3,11.32,679.48
28_42,1,1,17.24,1034.13
28_44,2,7,13.57,814.08
28_45,2,6,13.98,838.54
28_49,2,3,19.15,1148.81
28_50,1,3,12.69,761.09
28_7,5,6,18.23,1093.96
29_129,7,1,15.42,925.06
29_15,3,3,16.57,993.89
29_17,8,4,18.25,1095.26
29_18,1,2,14.3,857.82
29_19,8,3,17.48,1048.61
29_22,3,1,21.51,1290.79
29_28,6,2,11.42,685.25
29_29,7,8,10.85,650.68
29_32,5,5,15.34,920.19
29_34,6,4,11.11,666.47
29_35,7,5,10.68,640.77
29_37,7,6,12.15,728.89
29_45,1,5,17.59,1055.69
29_48,2,8,9.62,579.01
29_49,2,4,12.94,776.11
29_5,5,8,18.04,1082.11
29_6,2,5,21.34,1280.71
29_7,5,4,23.36,1401.33
2_13,1,6,22.09,1325.42
2_17,3,3,21.53,1291.96
2_19,2,7,18.4,1103.97
2_22,5,6,17.24,1096.83
2_26,1,3,21.1,1266.23
2_28,5,3,18.29,1097.1
2_3,1,7,27.77,1666.3
2_30,10,6,9.86,591.32
2_38,2,3,22.1,1326.22
2_4,5,7,16.27,976.01
2_41,2,1,20.92,1255.29
2_42,2,6,20.62,1237.3
2_46,7,6,11.2,671.7
2_47,9,7,17.75,1064.8
2_5,6,7,16.56,993.86
2_8,6,1,22.59,1356.79
3_11,1,8,10.03,601.93
3_12,7,8,11.0,659.99
3_13,6,8,14.72,883.02
3_14,2,2,10.07,604.24
3_18,6,4,15.91,954.72
3_2,5,2,10.96,657.82
3_22,1,4,16.53,991.69
3_34,7,4,9.7,581.98
3_36,5,4,15.77,946.45
3_46,2,4,11.57,694.36
3_49,2,5,13.0,779.91
3_5,2,8,9.71,582.42
3_50,6,2,7.53,451.72
4_122,6,3,18.34,1100.3
4_17,5,7,12.69,761.36
4_2,2,6,12.91,774.81
4_20,10,6,12.16,729.7
4_22,1,3,14.84,890.36
4_24,2,1,20.08,1204.6
4_3,6,7,13.4,804.1
4_30,1,1,13.05,783.18
4_32,6,1,12.66,759.46
4_35,1,6,9.21,552.85
4_36,2,3,17.41,1044.34
4_40,2,7,10.87,652.08
4_43,7,1,13.5,809.74
4_44,5,6,10.14,608.41
4_5,9,7,11.19,671.5
4_7,2,6,14.85,890.96
4_9,1,7,13.63,817.68
5_11,7,8,14.64,878.71
5_15,6,3,14.61,876.38
5_18,11,5,23.21,1392.66
5_19,7,4,13.74,824.56
5_2,10,6,13.66,819.55
5_22,7,6,15.64,938.27
5_24,5,8,14.52,871.3
5_27,5,5,19.16,1149.62
5_28,9,7,6.0,360.29
5_3,5,7,9.33,559.93
5_35,5,6,13.96,837.37
5_37,1,7,12.84,770.44
5_4,6,4,13.8,797.7
5_42,5,3,11.24,676.51
5_44,7,5,17.01,1020.72
7_1,2,7,9.02,540.91
7_135,1,1,15.48,928.89
7_18,6,7,10.1,606.11
7_19,6,1,13.69,821.19
7_2,8,4,16.68,1000.77
7_24,5,3,12.83,769.97
7_26,9,7,6.33,379.61
7_3,8,1,12.96,777.78
7_30,10,6,6.49,389.46
7_32,5,7,5.86,351.78
7_35,1,1,6.12,366.97
7_38,1,6,7.7,461.96
7_44,5,6,8.26,495.6
7_48,2,6,10.05,602.97
7_5,1,7,9.9,594.06
7_50,2,3,11.46,687.55
8_11,6,3,7.12,426.99
8_15,2,4,8.58,514.75
8_16,6,4,7.71,462.66
8_19,5,4,9.03,541.71
8_20,2,5,9.78,588.72
8_25,3,3,7.38,442.91
8_26,5,8,7.51,450.35
8_3,2,4,7.03,421.99
8_30,5,5,6.26,375.88
8_31,7,5,4.45,267.17
8_33,11,5,4.91,294.46
8_35,5,3,7.18,430.56
8_40,5,2,6.63,397.76
8_44,1,4,5.79,347.41
8_45,2,8,6.27,376.21
8_50,7,8,4.39,263.46
9_108,2,7,10.02,601.37
9_12,2,6,11.08,664.76
9_13,1,6,9.39,563.6
9_15,6,1,14.19,851.58
9_19,2,1,13.91,834.53
9_2,5,6,12.64,758.66
9_22,7,1,14.29,857.72
9_24,7,6,12.19,731.3
9_25,1,3,14.22,853.52
9_36,5,7,6.62,397.3
9_4,5,1,14.77,886.12
9_45,10,6,5.26,315.78
9_47,6,7,8.37,502.0
9_8,9,7,9.28,557.06